Region1,Region2,Region1_NonAged,Region2_NonAged,Region1_Aged,Region2_Aged,Total_Mortality,policy,supply_rate,epsilon,R1_Masks,R2_Masks
0.080159,0.080159,0.026347,0.026347,0.133970,0.133970,0.080159,Proportion,0.3,,120000,120000
0.074290,0.074290,0.024418,0.024418,0.124161,0.124161,0.074290,Proportion,0.35,,140000,140000
0.068835,0.068835,0.022625,0.022625,0.115045,0.115045,0.068835,Proportion,0.4,,160000,160000
0.063812,0.063812,0.020974,0.020974,0.106651,0.106651,0.063812,Proportion,0.45,,180000,180000
0.059226,0.059226,0.019467,0.019467,0.098985,0.098985,0.059226,Proportion,0.5,,200000,200000
0.122107,0.122107,0.040138,0.040138,0.204077,0.204077,0.122107,Utility,0.0,,0,0
0.107120,0.122107,0.035211,0.040138,0.179029,0.204077,0.114614,Utility,0.05,,40000,0
0.093021,0.122107,0.030576,0.040138,0.155466,0.204077,0.107564,Utility,0.1,,80000,0
0.080159,0.122107,0.026347,0.040138,0.133970,0.204077,0.101133,Utility,0.15,,120000,0
0.068835,0.122107,0.022625,0.040138,0.115045,0.204077,0.095471,Utility,0.2,,160000,0
0.059226,0.122107,0.019467,0.040138,0.098985,0.204077,0.090667,Utility,0.25,,200000,0
0.051324,0.122107,0.016870,0.040138,0.085779,0.204077,0.086716,Utility,0.3,,240000,0
0.044966,0.122107,0.014780,0.040138,0.075152,0.204077,0.083537,Utility,0.35,,280000,0
0.039904,0.122107,0.013116,0.040138,0.066692,0.204077,0.081006,Utility,0.4,,320000,0
0.035880,0.122107,0.011794,0.040138,0.059966,0.204077,0.078994,Utility,0.45,,360000,0
0.032663,0.122107,0.010736,0.040138,0.054590,0.204077,0.077385,Utility,0.5,,400000,0
